City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Sumenep,ID,81.68,clear sky,-7.0167,113.8667,OYO 3271 Homestay Pandian
525,Ramshir,IR,82.15,clear sky,30.8946,49.4092,معصومه مهدیان
526,Tarsus,TR,75.58,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
529,Mareeba,AU,76.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
530,Yarmouth,US,79.02,clear sky,41.7057,-70.2286,Blue Rock Resort
531,Chengde,CN,84.02,clear sky,40.9725,117.9361,Super 8 Hotel
534,Rodrigues Alves,BR,77.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
536,Bay-Ang,PH,82.81,overcast clouds,11.0347,122.9417,Perfecto Banaban
537,Praya,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
540,Barabai,ID,86.88,scattered clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
543,Tondano,ID,80.69,scattered clouds,1.3038,124.9112,Villa Bella
547,Beyneu,KZ,77.09,overcast clouds,45.3167,55.2,NUR
548,Ternate,ID,82.78,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
549,Jiuquan,CN,82.56,clear sky,39.7432,98.5174,Jiuquan Hotel
550,Saint-Louis,SN,83.37,light rain,16.3333,-15.0,
551,Wahiawa,US,86.32,clear sky,21.5028,-158.0236,The Inn At Schofield
556,Locri,IT,80.31,clear sky,38.2414,16.2623,Grand Hotel President
558,Tateyama,JP,80.46,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
562,Ixhuatan,MX,79.79,overcast clouds,16.3569,-94.4825,Hotel D' Ángel
569,Rapar,IN,80.42,moderate rain,23.5667,70.6333,Dharamshi Bapa’s Home
571,Ahuimanu,US,78.53,few clouds,21.4447,-157.8378,Paradise Bay Resort
574,Rabaul,PG,86.65,broken clouds,-4.1967,152.1721,Rabaul Hotel
575,Loudi,CN,89.08,clear sky,27.7344,111.9944,Till Bright Hotel
576,Labuhan,ID,80.89,scattered clouds,-6.8844,112.2051,DoubleFAG
579,Sembakung,ID,83.59,broken clouds,3.8167,117.25,
580,Ixtapa,MX,78.46,scattered clouds,20.7,-105.2,hotel la terminal
583,Pafos,CY,78.58,clear sky,34.7667,32.4167,Elysium Hotel
587,Padang,ID,83.61,broken clouds,-0.9492,100.3543,Mercure Padang
590,Porto Franco,BR,77.04,broken clouds,-6.3383,-47.3992,Saint Louis Hotel
591,Freeport,US,85.98,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
592,Wanning,CN,86.61,clear sky,18.8003,110.3967,Paradise Hotel
594,Kieta,PG,85.73,light rain,-6.2167,155.6333,Uruna Bay Retreat
597,Mayo,US,84.15,clear sky,38.8876,-76.5119,Resorts Resource Group International
598,Suntar,RU,81.57,clear sky,62.1444,117.6319,Гостевая квартира
600,Buchanan,LR,75.24,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
