City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,College,US,64.8569,-147.8028,63.54,44,84,1.9,broken clouds
106,Mahon,ES,39.8885,4.2658,77.56,88,0,1.14,clear sky
107,Ilulissat,GL,69.2167,-51.1,38.21,99,100,1.12,overcast clouds
108,Elko,US,41.0002,-115.5012,91.42,9,3,17.0,clear sky
109,Dzaoudzi,YT,-12.7887,45.2699,67.89,94,0,4.61,clear sky
110,Rawson,AR,-43.3002,-65.1023,40.62,92,100,12.33,overcast clouds
111,Karratha,AU,-20.7377,116.8463,70.83,38,0,13.44,clear sky
112,Avera,US,33.194,-82.5271,82.83,58,33,5.32,scattered clouds
113,Raga,SS,8.4596,25.678,69.21,93,100,3.85,overcast clouds
114,Pisco,PE,-13.7,-76.2167,58.84,90,46,1.03,scattered clouds
115,South Lake Tahoe,US,38.9332,-119.9844,70.99,18,0,10.33,clear sky
116,Husavik,IS,66.0449,-17.3389,45.36,93,99,1.21,overcast clouds
117,Georgetown,MY,5.4112,100.3354,82.33,89,20,3.44,few clouds
118,Svetlogorsk,BY,52.6333,29.7333,59.97,86,28,6.87,scattered clouds
119,Garh Maharaja,PK,30.8339,71.9053,84.69,76,100,7.61,overcast clouds
120,Estelle,US,29.8458,-90.1067,84.97,75,0,3.44,clear sky
121,Alcudia,ES,39.8532,3.1214,81.37,60,0,2.28,clear sky
122,Yeppoon,AU,-23.1333,150.7333,67.78,69,0,6.98,clear sky
123,Teguldet,RU,57.3064,88.1667,61.48,66,100,6.53,overcast clouds
124,Noumea,NC,-22.2763,166.4572,76.98,88,100,10.02,overcast clouds
125,Creel,MX,27.75,-107.6333,59.9,84,98,8.23,overcast clouds
126,Tilichiki,RU,60.4667,166.1,56.21,65,92,3.06,light rain
127,Sikeston,US,36.8767,-89.5879,87.73,58,0,0.0,clear sky
128,Jha Jha,IN,24.7667,86.3667,84.06,71,100,12.01,overcast clouds
129,Tonantins,BR,-2.8731,-67.8022,73.18,99,100,2.15,overcast clouds
130,Naron,ES,43.5167,-8.1528,64.6,74,0,2.66,clear sky
131,Mitu,CO,1.1983,-70.1733,70.54,100,100,0.63,overcast clouds
132,Yarim,YE,14.298,44.3779,58.95,76,100,1.86,light rain
133,Naze,JP,28.3667,129.4833,81.93,68,100,0.04,overcast clouds
134,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.57,51,97,1.63,overcast clouds
135,Verkhnyaya Inta,RU,65.9811,60.3094,52.88,80,82,15.48,broken clouds
136,Srivardhan,IN,18.0333,73.0167,77.54,88,100,8.08,overcast clouds
137,Mount Gambier,AU,-37.8333,140.7667,58.57,75,4,9.31,clear sky
138,Cururupu,BR,-1.8283,-44.8683,75.27,89,99,2.17,overcast clouds
139,Chalmette,US,29.9427,-89.9634,81.57,75,17,7.96,few clouds
140,Hirara,JP,24.8,125.2833,89.87,70,20,10.36,few clouds
141,Kavaratti,IN,10.5669,72.642,80.91,77,95,16.28,overcast clouds
142,Katsuura,JP,35.1333,140.3,82.17,74,98,13.98,overcast clouds
143,Sinnamary,GF,5.3833,-52.95,78.12,86,96,8.37,overcast clouds
144,Clyde River,CA,70.4692,-68.5914,48.43,81,100,3.44,overcast clouds
145,Aras,ES,42.5617,-2.356,63.01,82,0,0.0,clear sky
146,Winnemucca,US,40.973,-117.7357,95.05,5,0,8.05,clear sky
147,Kaitangata,NZ,-46.2817,169.8464,46.06,60,12,1.23,few clouds
148,Kodiak,US,57.79,-152.4072,51.31,93,100,19.57,moderate rain
149,Pevek,RU,69.7008,170.3133,37.09,81,95,7.45,overcast clouds
150,Aksu,CN,41.1231,80.2644,90.93,14,23,3.8,few clouds
151,Teya,RU,60.3778,92.6267,59.81,60,1,7.36,clear sky
152,Sasvad,IN,18.3333,74.0333,69.66,93,100,6.17,overcast clouds
153,Provideniya,RU,64.3833,-173.3,45.21,87,100,4.36,light rain
154,Baybay,PH,10.6833,124.8333,85.8,69,98,3.09,moderate rain
155,Dikson,RU,73.5069,80.5464,49.64,74,100,12.73,overcast clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,93,100,13.8,light rain
157,Balaipungut,ID,1.05,101.2833,80.53,83,100,1.23,overcast clouds
158,Palmer,US,42.1584,-72.3287,81.95,73,75,5.75,broken clouds
159,Losevo,RU,50.6767,40.045,58.86,95,27,6.15,scattered clouds
160,Vila,PT,42.0304,-8.1588,60.94,55,0,2.35,clear sky
161,Yaan,NG,7.3833,8.5667,70.03,98,97,3.74,overcast clouds
162,Puro,PH,12.4841,123.3827,85.5,68,100,2.26,overcast clouds
163,Khatanga,RU,71.9667,102.5,72.39,52,53,11.5,broken clouds
164,Mushie,CD,-3.0167,16.9,73.45,82,61,2.37,light rain
165,Antofagasta,CL,-23.65,-70.4,56.48,86,3,2.55,clear sky
166,Arlit,NE,18.7369,7.3853,91.11,31,66,6.4,broken clouds
167,Isangel,VU,-19.55,169.2667,80.94,75,2,11.92,clear sky
168,Gondar,ET,12.6,37.4667,57.81,94,100,2.82,light rain
169,Palatka,US,29.6486,-81.6376,80.04,87,98,1.01,overcast clouds
170,Victoria,HK,22.2855,114.1577,93.96,70,0,5.01,clear sky
171,High Rock,BS,26.6208,-78.2833,82.42,70,57,12.03,broken clouds
172,Paris,FR,48.8534,2.3488,68.14,83,0,6.91,clear sky
173,Belleville,CA,44.1788,-77.3705,78.66,69,20,9.22,few clouds
174,Snasa,NO,64.2457,12.3778,50.9,84,100,1.66,overcast clouds
175,Kapoeta,SS,4.7717,33.5903,76.1,57,78,4.21,broken clouds
176,Guerrero Negro,MX,27.9769,-114.0611,68.92,75,26,14.9,scattered clouds
177,Nyurba,RU,63.2842,118.3319,76.66,50,20,12.12,few clouds
178,Iqaluit,CA,63.7506,-68.5145,46.13,93,100,2.3,overcast clouds
179,Gizo,SB,-8.103,156.8419,84.7,70,7,10.38,clear sky
180,Calabozo,VE,8.9242,-67.4293,77.0,76,61,1.9,broken clouds
181,Soyo,AO,-6.1349,12.3689,69.33,92,48,5.46,scattered clouds
182,Flin Flon,CA,54.7682,-101.865,52.09,79,100,4.03,overcast clouds
183,Hesperia,US,34.4264,-117.3009,96.08,29,3,11.99,clear sky
184,Lazaro Cardenas,MX,17.9583,-102.2,81.48,79,61,5.23,broken clouds
185,Krasnoselkup,RU,65.7,82.4667,63.68,83,100,4.92,overcast clouds
186,Airai,TL,-8.9266,125.4092,67.08,50,7,3.11,clear sky
187,Arraial Do Cabo,BR,-22.9661,-42.0278,71.26,88,33,21.56,scattered clouds
188,Sao Miguel,BR,-5.4667,-35.3667,77.77,89,48,13.69,scattered clouds
189,Saint Anthony,US,45.0205,-93.218,76.89,82,0,4.61,clear sky
190,Kahului,US,20.8947,-156.47,89.62,59,40,24.16,scattered clouds
191,Nome,US,64.5011,-165.4064,49.53,79,96,14.67,light rain
192,Yongchang,CN,30.0381,119.7317,92.57,67,45,0.22,scattered clouds
193,Talara,PE,-4.5772,-81.2719,63.52,89,7,12.88,clear sky
194,Tarko-Sale,RU,64.9225,77.785,56.7,86,100,4.12,overcast clouds
195,Ahipara,NZ,-35.1667,173.1667,56.62,91,100,19.48,moderate rain
